m#node	C#node2vec-0	C#node2vec-1	C#node2vec-2	C#node2vec-3	C#node2vec-4	C#node2vec-5	C#node2vec-6	C#node2vec-7	C#node2vec-8	C#node2vec-9	C#node2vec-10	C#node2vec-11	C#node2vec-12	C#node2vec-13	C#node2vec-14	C#node2vec-15	C#node2vec-16	C#node2vec-17	C#node2vec-18	C#node2vec-19	C#node2vec-20	C#node2vec-21	C#node2vec-22	C#node2vec-23	C#node2vec-24	C#node2vec-25	C#node2vec-26	C#node2vec-27	C#node2vec-28	C#node2vec-29	C#node2vec-30	C#node2vec-31	cD#class
Bjørn Halvor Kise	-0.8999533	-0.6876992	-0.941738	0.075445734	0.3563086	0.4559495	-0.14480568	0.29382557	-0.7773272	-0.07940839	0.30759716	-1.0703498	0.6663875	-1.284625	-0.43775895	0.5825476	-0.87823284	-1.2144184	0.96573234	1.3780326	0.16142505	-0.6543333	0.8180379	-0.15083714	-0.46341234	-0.10333284	-2.192379	-0.32177743	0.3950453	0.60048217	-0.03280798	0.60704106	1
Daniel Andreas Skjeldam	-0.9255793	-0.8578948	-0.5237845	0.18235527	0.26869753	0.47080076	-0.18061998	0.5755168	-0.8112292	0.14710227	0.72633517	-1.1953224	0.50109506	-1.2759984	-0.40138602	0.670612	-0.8038452	-1.0121659	1.0543246	1.5326402	0.10629836	-0.56340444	0.80768585	-0.56491786	-0.553955	-0.13137366	-2.1247308	-0.43849	0.595624	0.6644536	0.00055456546	0.76519185	1
John Einar Høsteland	-0.70044875	-0.8934059	-0.89199513	-0.17031199	0.3243599	0.4976077	0.019827932	0.9694365	-0.6207158	0.13206436	0.41379946	-0.8353827	0.91722256	-1.1519537	-0.07339421	1.0683277	-0.67595947	-1.0048947	1.2027576	0.86513	-0.04246773	-0.26376435	0.46507853	-0.6313865	-0.5082985	0.33797994	-1.74413	-0.5488518	0.592845	0.85044414	0.29210073	0.31940085	1
Kristin Farstad	-0.8528662	-0.9069357	-0.51729125	0.20917448	0.3292268	0.51556426	-0.13614629	0.5636108	-0.84771293	0.07574386	0.75038266	-1.2412739	0.5654636	-1.33032	-0.44609022	0.64110976	-0.8619515	-0.93733686	1.0734572	1.5240533	0.1002341	-0.61253756	0.891195	-0.43032938	-0.58083844	-0.13446087	-2.1575644	-0.515678	0.5701011	0.690472	-0.0052730395	0.7479474	2
Adine Charlotte Grate Axen	1.5109335	-0.96536744	-0.5377023	1.2907097	1.5649501	0.36197072	0.20238666	1.0365142	0.04101515	0.36742055	0.43851933	-1.4128903	0.28962877	-0.72591996	-0.11221242	0.30895483	-0.067068174	-0.6589589	0.2901443	0.18080573	0.963387	0.68935096	-0.38487744	0.5571637	0.36022377	0.54687005	-1.5124627	-0.17499767	-0.5310703	0.5862637	-1.3398052	-0.3900868	2
Anders Brandt	1.5956509	-1.0399197	-0.5855884	1.3237841	1.7174244	0.34124398	0.45693657	0.9644026	0.06777495	0.33873212	0.36107218	-1.3507254	0.14590834	-0.7435152	-0.0826701	0.1963602	-0.023023486	-0.75785744	0.22799256	0.22881985	0.9442001	0.779757	-0.37732226	0.63213843	0.37674627	0.47456738	-1.5560994	-0.2894908	-0.49872598	0.66072524	-1.2153544	-0.40351975	1
Anne-Lise Aukner	1.1762207	-0.84571844	-0.48669964	1.3893872	1.241048	0.19318295	0.3886764	1.1904283	-0.2338269	0.5362009	0.32249284	-1.4700688	0.43394658	-0.295423	0.06588488	0.058857165	0.1543116	-0.8863938	0.27087966	0.11068714	0.97830874	0.7418893	-0.21050324	0.5442499	0.2173663	0.67264915	-1.1252198	0.03027423	-0.21119146	0.50832266	-1.0060986	-0.66317517	2
Arve Johansen	1.4937137	-1.1336402	-0.5194833	0.87060726	1.5208051	0.32834166	0.19592714	0.58675313	0.13439257	0.4596954	0.6348821	-1.3920386	-0.090422206	-0.6827767	-0.2584578	0.14715411	-0.26645035	-0.640263	0.49569914	0.07998324	0.8133463	0.6994607	-0.16609146	0.5913198	0.21017471	0.55223334	-1.2359152	-0.27783316	-0.46985227	0.6553974	-1.3302104	-0.15255348	1
Dag Mejdell	1.4125148	-1.1746376	-0.70676625	1.3895875	1.8125416	0.25504673	0.47907957	1.0034277	4.950374e-05	0.3102538	0.34401786	-1.3939118	0.21802896	-0.7159999	0.10512602	0.23280878	-0.10628861	-0.67481804	0.25360513	0.25036466	0.9439178	0.76978624	-0.4991334	0.5357635	0.39980736	0.54665786	-1.5464587	-0.12299524	-0.41164047	0.46715063	-1.2080734	-0.17239901	1
Hilde Lovise Ringereide	1.4569592	-1.1687484	-0.560912	1.2348621	1.6751649	0.4009865	0.4727852	1.0128198	0.05036729	0.4258789	0.33921304	-1.3173518	0.30733815	-0.80028814	-0.07743639	0.09064052	-0.07567142	-0.6999554	0.21221404	0.18340582	0.86742085	0.674765	-0.43482998	0.6236604	0.3104816	0.60783726	-1.621245	-0.29924253	-0.45742974	0.60395736	-1.1445378	-0.39333823	2
