m#node	C#node2vec-0	C#node2vec-1	C#node2vec-2	C#node2vec-3	C#node2vec-4	C#node2vec-5	C#node2vec-6	C#node2vec-7	C#node2vec-8	C#node2vec-9	C#node2vec-10	C#node2vec-11	C#node2vec-12	C#node2vec-13	C#node2vec-14	C#node2vec-15	C#node2vec-16	C#node2vec-17	C#node2vec-18	C#node2vec-19	C#node2vec-20	C#node2vec-21	C#node2vec-22	C#node2vec-23	C#node2vec-24	C#node2vec-25	C#node2vec-26	C#node2vec-27	C#node2vec-28	C#node2vec-29	C#node2vec-30	C#node2vec-31	cD#class
Matjaž B. Jurič	0.5907316	-0.24414557	-0.3283007	-0.34386078	0.41669965	0.19698273	-0.01964367	-0.8509239	-0.918876	-0.7298842	0.023840541	-0.62883073	-0.15999137	0.12373162	0.49048197	-0.41334096	0.06575566	0.09361032	0.014465073	1.006999	0.25298277	0.7279921	0.95430636	0.46857536	0.2140731	0.21152292	-0.3886989	-0.27083668	-0.9725717	-0.27756792	0.4147403	0.36224008	5
Tomaž Domajnko	0.34429395	-0.31061676	-0.5525857	0.010835779	0.45896202	0.19701049	-0.028573805	-0.38642308	-0.3346225	-0.29216102	-0.03737668	-0.9759568	-0.27224287	-0.47988474	0.36273092	0.22892153	0.22135168	-0.10112418	0.16659406	0.5685137	0.18848892	0.6547797	0.94238573	0.80841744	0.6998155	0.66234183	0.2909321	-0.16221057	-0.32219887	-0.11657673	0.32495552	0.78133386	5
Mitja Lenič	0.1549182	-0.19357479	-0.4191041	-1.1465328	0.51992	-0.07932937	-0.2552861	-0.6807517	-0.34145358	0.36327204	-0.15367413	-0.34710017	-0.45888865	0.26940143	0.31203002	-0.22392727	0.01545372	0.2042406	-0.3400911	-0.040659383	1.125188	0.5518835	1.3982623	-0.13272013	0.71587515	-0.0633236	-0.6650245	-0.86577064	-0.16604105	-0.5315445	0.18229958	0.016294912	1
Roman Zidarič	-0.019835472	0.016136885	0.029839285	-0.00093500316	0.015435517	-0.02339682	-0.0063722283	-0.0010617524	0.02143474	-0.0077851787	-0.000693433	0.023373373	-0.006698124	0.010808378	-0.00078368187	-0.017213576	0.019184127	0.025978811	-0.015878849	0.022861004	0.0042795613	0.002705671	-0.0014062673	-0.026496716	0.009125225	0.01020126	-0.015418768	-0.004809797	0.025738865	0.00793618	-0.013975799	-0.025111742	2
Neja Zupan	1.1423383	-1.0010653	-0.5849442	-0.41811264	-0.5714467	-1.1452053	-1.6046053	0.6919367	-1.2133937	-0.46520263	-1.1088697	-0.34597948	0.56412446	0.20631234	1.1860589	0.71052885	0.08073916	0.81109345	0.03815308	0.46817976	1.486588	0.7974755	-0.014936686	-0.5785168	0.589867	0.1541968	-0.41826075	-0.0969926	-0.07708665	-0.36803058	0.42687568	-0.09812757	5
Janez Jamšek	0.015628703	-0.012900382	0.004538603	0.0062445775	0.019678906	0.02796042	-0.0061325133	-0.018515095	4.156679e-05	-0.014788695	0.005688004	0.0041615516	-0.00780008	-0.025274836	-0.019881025	-0.025293633	-0.010887809	-0.02397921	-0.015123799	0.027595684	-0.00475432	0.02642683	-0.019369297	0.029202111	0.029946074	-0.005561888	0.021444857	-0.02259139	-0.025677808	0.010573022	0.014414094	-0.007854961	0
Katarina Horvat	1.4920062	-0.7021189	1.1400443	-1.1893305	0.14851004	-1.2416883	-1.4938167	0.6332555	-0.8672862	-0.2811051	0.2706188	-0.76028216	-1.0283071	0.29982936	-0.47291818	0.973328	1.4926093	0.91602767	-0.51572293	1.465617	1.174077	1.5393499	0.15792134	-0.13691844	-1.0722572	-0.18010981	-0.98485863	0.15079512	0.2815878	-1.2960043	0.8153499	0.39894447	5
Damjan Strnad	0.29780287	0.28442442	0.34125984	-0.0149867935	-0.8297084	-0.31995556	-0.27400228	-0.025750266	-0.7368892	0.5372088	-0.31860104	0.057695616	-1.3144939	-0.17684269	0.47643334	0.8290857	0.11560234	0.5370742	-0.745934	0.8540457	0.9042794	1.2654005	1.4888608	-0.116097495	0.5709358	-0.08995591	-0.96334845	-1.0176954	0.18323018	-0.031726614	0.13703725	-0.48279187	3
Robert Krušec	-0.16431436	0.14021125	-0.5121275	-0.47845536	0.12094266	0.019957427	-0.2124696	-0.14868388	-0.20553067	0.24235904	-0.17846186	-0.5367745	-0.5997022	0.21898411	-0.20722654	0.0050886986	0.12548566	0.56792766	-0.42805088	0.5058712	0.8724183	1.0669898	1.3597435	0.43934718	0.97109586	-0.6702022	-0.66334295	-1.0191841	0.19073896	-0.018933635	0.64043176	-0.31755933	1
Uroš Novak	-0.4226771	0.20875247	-0.7955863	-0.9186522	0.3870651	-0.64014035	-0.0075458344	0.03430067	-0.3720418	0.45879337	0.17783731	-0.049864575	-0.81546164	0.35993233	0.016818514	0.055262648	0.2713601	0.8647008	-0.50482845	0.27034882	0.93325156	0.7464074	1.4220169	0.06872787	0.5376684	0.076952614	-0.55990255	-0.6223271	0.064965986	-0.2578261	0.74082595	0.40995237	1
